Paper,arXiv,PDF saved (path),Datasets used (from the paper),Dataset source URL,Downloaded? (Y / already-on-disk / RESTRICTED / NOT FOUND),Evidence quote + section
P1. Stadler et al. — Synthetic Data: Anonymisation Groundhog Day (USENIX Sec 2022),2011.07018,research\litsurvey\papers\P1_2011.07018.pdf,"Adult, Texas Hospital Discharge",Adult: https://archive.ics.uci.edu/dataset/2/adult ; Texas: https://github.com/spring-epfl/synthetic_data_release/tree/master/data,"Y (Adult: adult/ ; Texas: texas/texas.csv [100,000-row research mirror from EPFL GroundHog repo; superset of P1 50,000 sample. Provenance caveat: research mirror, not official Texas DSHS DUA])","Section 8.3 Datasets (Page 19): ""We include two tabular datasets, commonly used in the machine learning (ML) literature, in our experimental evaluation... Adult [34]. The Adult dataset contains information from 45,222 individuals extracted from the 1994 US Census database... Texas [60]. The Texas Hospital Discharge dataset is a large public use data file provided by the Texas Department of State Health Services. The dataset we use consists of 50,000 records uniformly sampled from a pre-processed data file that contains patient records from the year 2013."""
P2. Annamalai et al. — Tight Auditing of DP Synthetic Data (USENIX Sec 2024),2405.10994,research\litsurvey\papers\P2_2405.10994.pdf,"Adult, San Francisco Fire Dept Calls for Service (Fire), synthetic worst-case tables",Adult: https://archive.ics.uci.edu/dataset/2/adult ; Fire: https://raw.githubusercontent.com/ryan112358/hd-datasets/master/clean/fire.csv & https://data.sfgov.org/Public-Safety/Fire-Department-Calls-for-Service/nuek-vuh3,"Y (Adult: research\litsurvey\datasets\adult\ ; Fire: research\litsurvey\datasets\sf_fire\fire.csv [305,119 rows])","Section 4.1 Datasets (Page 6): ""We experiment with two tabular datasets used to train synthetic data generation (SDG) algorithms... 1. Adult [34], used to predict whether income exceeds $50K from Census data... 2. San Francisco Fire Dept Calls for Service (Fire) [15], which records fire units’ responses to calls made to them in 2016."""
P3. Cebere et al. — Grey-Box Auditing of DP Libraries (arXiv 2026),2602.17454,research\litsurvey\papers\P3_2602.17454.pdf,"Programmatically generated synthetic test tables (n=200, 2 cols), adversarial edge inputs (-inf, NaN)",Programmatic synthetic generation specified in Section 4.2,"Y (research\litsurvey\datasets\p3_synthetic_mock\D_table.csv, D_prime_neighbor.csv [reproduced per spec])","Section 4.2 Datasets (Page 7): ""Synthetic Data. To create a controlled and reproducible test environment, our synthetic data procedure generates an initial dataset D as a low-dimensional tabular dataset. Using a seeded pseudo-random number generator, it creates a table with a fixed number of records (e.g., n = 200) and a small number of categorical attributes (e.g., 2 columns)... As discussed in Section 5.2, dataset generation is outside the scope of this work..."""
P4. Ganev et al. — Data Domain Extraction impact on DP synthetic data (ICLR SynthData 2025),2504.08254,research\litsurvey\papers\P4_2504.08254.pdf,"Wine dataset (Wine Quality, White Wine, 4,898 samples, 11 attributes)",https://archive.ics.uci.edu/dataset/186/wine+quality,"Y (research\litsurvey\datasets\wine\winequality-white.csv [4,898 rows])","Section 2 MIA Instantiation (Page 2) & Appendix A (Page 6): ""To evaluate the privacy of the resulting synthetic data, we use GroundHog (Stadler et al., 2022), one of the most widely used MIAs for synthetic tabular data, on the Wine dataset (Dua & Graff, 2017)... Wine Dataset (Dua & Graff, 2017). As mentioned, our experiments are run on the Wine dataset, which consists of 4,898 wine samples, each described by 11 continuous physicochemical attributes, with the goal of modeling wine quality."""
P5. Ganev et al. — The Importance of Being Discrete: Discretization in DP (arXiv 2025),2504.06923,research\litsurvey\papers\P5_2504.06923.pdf,"Adult, Gas (Gas Turbine CO and NOx Emission Data Set), Wine (Wine Quality), 5 controlled 1D distributions",Adult: https://archive.ics.uci.edu/dataset/2/adult ; Gas: https://archive.ics.uci.edu/dataset/551/gas+turbine+co+and+nox+emission+data+set ; Wine: https://archive.ics.uci.edu/dataset/186/wine+quality,"Y (Adult: research\litsurvey\datasets\adult\ ; Gas: research\litsurvey\datasets\gas\ [36,733 rows] ; Wine: research\litsurvey\datasets\wine\ ; Controlled: research\litsurvey\datasets\controlled_distributions\)","Section 3.4 Datasets & Table 3 (Page 5): ""Real Datasets. We use common real datasets, i.e., Adult, Gas, and Wine from UCI's ML Repository [13], all of them having associated binary classification tasks – see Table 3... Table 3: Adult: 48,842 records, 6 numerical, 8 categorical; Gas: 36,733 records, 12 numerical, 0 categorical; Wine: 4,898 records, 11 numerical, 0 categorical."""
P6. Ganev et al. — SMOTE and Mirrors (arXiv 2025),2510.15083,research\litsurvey\papers\P6_2510.15083.pdf,"8 imbalanced datasets (ecoli, abalone, car eval 34, solar flare m0, car eval 4, yeast me2, mammography, abalone 19), plus churn, cardio, higgs, creditcard, miniboone","8 imbalanced: https://imbalanced-learn.org ; Churn, Creditcard, Higgs, MiniBooNE: https://openml.org ; Cardio: https://github.com/yandex-research/tab-ddpm","Y (ALL 13 DOWNLOADED in imbalanced\: 8 main sets + churn [5k], cardio [70k], creditcard [284k], higgs [98k], miniboone [130k])","Section 5 Datasets & Table 2 (Page 7): ""Datasets. We conduct our main experiments on eight standard imbalanced datasets, each with a binary classification task, obtained from the imblearn library [40] (originally from the UCI ML Repository) and used in prior work [13, 55] These datasets vary significantly in size (336 to 11,183 records), dimensionality (6 to 32 features), imbalance ratios (8.6 to 130), and prediction task (target), as shown in Table 2."""
"P7. Mohapatra, Zong, Kerschbaum & He — DP Data Generation with Missing Data (VLDB 2024)",2310.11548,research\litsurvey\papers\P7_2310.11548.pdf,"Adult, Bank, BR2000, National",Adult: https://archive.ics.uci.edu/dataset/2/adult ; Bank: https://archive.ics.uci.edu/dataset/222/bank+marketing ; BR2000: https://raw.githubusercontent.com/cgebest/kamino/master/testdata/br2000/br2000.csv ; National: https://doi.org/10.18434/MDS2-2895,"Y (Adult: adult/ [32,561 rows] ; Bank: bank_marketing/ [45,211 rows] ; BR2000: br2000/br2000.csv [38,000 rows research mirror from Kamino repo; not official IPUMS DUA] ; National: national/national2018.csv [27,111 rows NIST SDNist excerpt from which P7 extracted 15,012])","Section 6.1 Datasets & Table 1 (Page 11): ""Datasets. We run our experiments on four tabular datasets as described in Table 1: (i) Adult dataset [25], which contains information about 32561 individuals from the 1994 US Census (ii) Bank dataset [64], which has 45211 rows about direct marketing campaigns of a Portuguese banking institution (iii) BR2000 [97], which consists of 38,000 census records collected from Brazil in the year 2000, (iv) National dataset [84] from NIST Diverse Community Excerpts which contains information about 15012 individuals US census data."""
P8. McKenna et al. — AIM: Adaptive & Iterative Mechanism for DP Synthetic Data (VLDB 2022),2201.12677,research\litsurvey\papers\P8_2201.12677.pdf,"adult, salary, msnbc, fire, nltcs, titanic",All benchmark clean files from authors' repository: https://github.com/ryan112358/hd-datasets/tree/master/clean,"Y (ALL 6 DOWNLOADED: Adult: adult\ ; Salary: salary\ [135,727 rows] ; MSNBC: msnbc\ [989,818 rows] ; Fire: sf_fire\ [305,119 rows] ; NLTCS: nltcs\ [21,574 rows] ; Titanic: titanic\ [1,304 rows])","Section 6.1 Datasets & Table 3 (Page 9): ""Datasets. Our evaluation includes datasets with varying size and dimensionality... Table 3: Summary of datasets used in the experiments: adult [28] (48842 records, 15 dimensions), salary [23] (135727 records), msnbc [6] (989818 records), fire [43] (305119 records), nltcs [34] (21574 records), titanic [17] (1304 records)... For the adult and titanic datasets, these are the income>50K attribute and the Survived attribute, as those correspond to the attributes we are trying to predict for those datasets."""
P9. Abowd et al. — 2020 Census Disclosure Avoidance System TopDown (2022),2204.08986,research\litsurvey\papers\P9_2204.08986.pdf,"2010 Census Edited File (CEF) / Hundred-percent Detail File (HDF) demonstration products (PPMF), 2020 Census Edited File (CEF), 1940 Census microdata",https://www.census.gov/programs-surveys/decennial-census/decade/2020/planning-management/process/disclosure-avoidance/2010-demonstration-data-products.html,RESTRICTED (Confidential Title 13 Census Edited File; public demonstration PPMFs are multi-GB full-population files),"Section 8.1 (Pages 29–30): ""8.1. Tuning the DAS and the release of demonstration data products. The 2010 Census Edited File. The tuning of the 2020 DAS was conducted using data from the 2010 Census without using the 2020 data. Starting in October 2019, the Census Bureau released a series of demonstration data products based on the 2010 data (U.S. Census Bureau, 2021d). Each set consisted of privacy-protected microdata files (PPMF) generated from the microdata detail file (MDF) that supported at least the redistricting data tables."""
"P10. Dibia et al. — ""We Need a Standard"": Expert-Informed DP Privacy Label (PoPETs 2026)",2507.15997,research\litsurvey\papers\P10_2507.15997.pdf,NO EXPERIMENTAL DATASETS (qualitative interview study / standards proposal with 12 DP experts),N/A (no experimental datasets used),N/A (NO EXPERIMENTAL DATASETS),"Section 3 Methodology (Pages 2–3): ""We conducted a qualitative interview study with 12 DP experts. This section details the participant recruitment, the interview procedure, and data analysis... We used the purposive sampling method to recruit DP experts across academia, industry, and government... We assigned participant numbers P01–P12 to these experts."""
